Date received,"BANK OF AMERICA, NATIONAL ASSOCIATION",CAPITAL ONE FINANCIAL CORPORATION,"CITIBANK, N.A.","EQUIFAX, INC.",Experian Information Solutions Inc.,JPMORGAN CHASE & CO.,"Navient Solutions, LLC.",SYNCHRONY FINANCIAL,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WELLS FARGO & COMPANY
2016-08-25,45.0,26.0,33.0,46.0,46.0,31.0,11.0,10.0,38.0,30.0
2016-08-26,36.0,10.0,32.0,37.0,27.0,26.0,9.0,8.0,23.0,32.0
2016-08-27,13.0,8.0,18.0,29.0,20.0,9.0,9.0,7.0,15.0,11.0
2016-08-28,8.0,8.0,10.0,17.0,16.0,8.0,3.0,2.0,14.0,7.0
2016-08-29,31.0,23.0,46.0,46.0,53.0,44.0,6.0,13.0,44.0,25.0
2016-08-30,44.0,36.0,36.0,72.0,56.0,46.0,13.0,7.0,48.0,46.0
2016-08-31,41.0,16.0,37.0,73.0,57.0,33.0,11.0,12.0,52.0,49.0
2016-09-01,27.0,10.0,35.0,48.0,32.0,29.0,11.0,14.0,39.0,31.0
2016-09-02,29.0,9.0,18.0,26.0,29.0,23.0,8.0,11.0,23.0,24.0
2016-09-03,7.0,5.0,14.0,19.0,13.0,9.0,6.0,8.0,15.0,7.0
2016-09-04,3.0,6.0,9.0,13.0,13.0,4.0,3.0,3.0,9.0,7.0
2016-09-05,7.0,9.0,7.0,13.0,16.0,4.0,8.0,2.0,10.0,9.0
2016-09-06,20.0,18.0,31.0,64.0,40.0,28.0,13.0,13.0,29.0,32.0
2016-09-07,47.0,21.0,37.0,57.0,50.0,36.0,26.0,12.0,34.0,46.0
2016-09-08,44.0,23.0,32.0,64.0,35.0,34.0,13.0,18.0,32.0,69.0
2016-09-09,45.0,15.0,31.0,61.0,72.0,35.0,10.0,19.0,38.0,110.0
2016-09-10,11.0,5.0,12.0,22.0,10.0,7.0,5.0,5.0,9.0,31.0
2016-09-11,9.0,4.0,4.0,13.0,11.0,5.0,6.0,9.0,9.0,14.0
2016-09-12,34.0,15.0,27.0,50.0,29.0,28.0,12.0,9.0,42.0,70.0
2016-09-13,46.0,11.0,31.0,74.0,77.0,30.0,11.0,14.0,67.0,90.0
2016-09-14,57.0,17.0,39.0,55.0,40.0,34.0,8.0,14.0,37.0,89.0
2016-09-15,42.0,11.0,21.0,53.0,36.0,37.0,9.0,15.0,46.0,60.0
